Date,Price,Open,High,Low,Vol.,Change %
01-Jan-22,"47,738.00","46,217.50","47,917.60","46,217.50",31.24K,3.29%
31-Dec-21,"46,219.50","47,123.30","48,553.90","45,693.60",58.18K,-1.92%
30-Dec-21,"47,123.30","46,470.70","47,901.40","46,003.00",60.96K,1.42%
29-Dec-21,"46,461.70","47,548.40","48,121.70","46,127.80",63.92K,-2.28%
28-Dec-21,"47,545.20","50,703.40","50,703.80","47,345.70",74.39K,-6.18%
27-Dec-21,"50,678.20","50,783.60","52,016.30","50,459.00",43.90K,-0.20%
26-Dec-21,"50,779.90","50,404.00","51,247.00","49,527.00",32.34K,0.74%
25-Dec-21,"50,406.40","50,789.60","51,140.20","50,196.80",26.67K,-0.75%
24-Dec-21,"50,786.10","50,807.40","51,795.30","50,428.40",45.97K,-0.03%
23-Dec-21,"50,801.00","48,599.60","51,355.60","48,053.40",56.24K,4.53%
22-Dec-21,"48,599.70","48,898.70","49,540.30","48,449.70",40.89K,-0.62%
21-Dec-21,"48,902.00","46,900.10","49,306.10","46,654.00",57.88K,4.28%
20-Dec-21,"46,895.20","46,703.40","47,488.90","45,577.30",57.53K,0.41%
19-Dec-21,"46,704.50","46,855.70","48,270.20","46,438.40",44.05K,-0.32%
18-Dec-21,"46,856.20","46,171.80","47,330.20","45,513.40",36.93K,1.48%
17-Dec-21,"46,172.20","47,630.40","47,997.20","45,523.80",67.50K,-3.06%
16-Dec-21,"47,628.20","48,876.60","49,387.80","47,543.90",48.20K,-2.54%
15-Dec-21,"48,871.50","48,366.20","49,477.90","46,572.60",80.28K,1.04%
14-Dec-21,"48,366.50","46,709.80","48,635.00","46,338.30",62.54K,3.56%
13-Dec-21,"46,703.60","50,075.90","50,196.10","45,848.20",80.37K,-6.74%
12-Dec-21,"50,081.00","49,332.50","50,779.20","48,670.50",40.30K,1.55%
11-Dec-21,"49,314.50","47,138.40","49,487.00","46,834.00",45.23K,4.62%
10-Dec-21,"47,137.20","47,591.70","49,974.80","47,007.10",68.06K,-0.97%
09-Dec-21,"47,596.60","50,477.60","50,790.20","47,341.90",58.69K,-5.70%
08-Dec-21,"50,473.90","50,596.60","51,204.70","48,700.70",55.59K,-0.24%
07-Dec-21,"50,595.20","50,547.40","51,918.60","50,070.90",56.29K,0.07%
06-Dec-21,"50,562.10","49,412.10","50,913.30","47,237.90",89.68K,2.34%
05-Dec-21,"49,405.50","49,196.40","49,689.30","47,797.80",72.03K,0.43%
04-Dec-21,"49,195.20","53,620.70","53,847.20","42,587.80",168.00K,-8.27%
03-Dec-21,"53,631.50","56,495.20","57,543.60","52,008.90",89.20K,-5.07%
02-Dec-21,"56,496.00","57,207.80","57,377.50","55,807.90",54.94K,-1.25%
01-Dec-21,"57,210.30","56,891.70","59,064.30","56,496.50",66.75K,0.58%
30-Nov-21,"56,882.90","57,795.20","59,174.40","55,936.90",73.66K,-1.58%
29-Nov-21,"57,794.80","57,288.10","58,855.20","56,726.70",58.65K,0.88%
28-Nov-21,"57,291.50","54,758.00","57,392.30","53,448.30",49.28K,4.61%
27-Nov-21,"54,765.90","53,747.20","55,280.30","53,654.30",40.71K,1.93%
26-Nov-21,"53,730.90","58,937.30","59,151.10","53,533.50",104.03K,-8.83%
25-Nov-21,"58,935.10","57,167.10","59,387.30","57,029.80",56.79K,3.08%
24-Nov-21,"57,171.70","57,559.40","57,697.40","55,910.60",56.68K,-0.70%
23-Nov-21,"57,573.20","56,304.80","57,855.10","55,542.50",72.48K,2.25%
22-Nov-21,"56,308.80","58,719.70","59,288.30","55,656.80",76.45K,-4.10%
21-Nov-21,"58,714.30","59,724.00","60,002.60","58,528.30",40.98K,-1.68%
20-Nov-21,"59,717.60","58,080.80","59,854.60","57,435.30",44.53K,2.81%
19-Nov-21,"58,083.40","56,908.30","58,335.90","55,626.30",74.44K,1.98%
18-Nov-21,"56,955.30","60,368.20","60,936.90","56,524.40",100.37K,-5.65%
17-Nov-21,"60,367.80","60,074.20","60,814.50","58,531.90",73.93K,0.46%
16-Nov-21,"60,089.10","63,605.10","63,605.60","58,655.90",115.36K,-5.52%
15-Nov-21,"63,597.90","65,514.90","66,311.20","63,439.50",53.53K,-2.92%
14-Nov-21,"65,508.20","64,397.20","65,508.20","63,608.30",33.98K,1.72%
13-Nov-21,"64,398.60","64,133.30","64,906.00","63,381.40",30.34K,0.41%
12-Nov-21,"64,134.50","64,782.60","65,449.70","62,309.70",63.27K,-1.04%
11-Nov-21,"64,806.70","64,922.80","65,583.30","64,121.90",50.37K,-0.19%
10-Nov-21,"64,932.60","66,942.60","68,990.60","62,951.30",96.21K,-2.95%
09-Nov-21,"66,904.40","67,528.70","68,493.30","66,334.90",66.13K,-0.92%
08-Nov-21,"67,527.90","63,276.40","67,763.30","63,276.40",81.08K,6.72%
07-Nov-21,"63,273.20","61,483.80","63,273.20","61,347.20",34.34K,2.91%
06-Nov-21,"61,483.90","60,973.20","61,543.20","60,093.60",34.89K,0.84%
05-Nov-21,"60,974.30","61,411.50","62,560.30","60,742.40",44.46K,-0.71%
04-Nov-21,"61,412.60","62,915.40","63,077.60","60,742.90",49.91K,-2.39%
03-Nov-21,"62,918.50","63,223.50","63,508.60","60,883.00",61.05K,-0.48%
02-Nov-21,"63,221.70","60,912.20","64,256.40","60,651.50",65.26K,3.79%
01-Nov-21,"60,915.30","61,310.10","62,430.10","59,612.70",61.21K,-0.64%
31-Oct-21,"61,309.60","61,842.20","62,393.70","60,005.70",50.06K,-0.86%
30-Oct-21,"61,840.10","62,245.00","62,338.50","60,786.00",40.51K,-0.65%
29-Oct-21,"62,242.80","60,579.90","62,952.20","60,322.20",63.39K,2.74%
28-Oct-21,"60,582.50","58,437.20","62,251.30","58,128.10",88.47K,3.67%
27-Oct-21,"58,438.10","60,312.50","61,452.90","58,112.60",88.11K,-3.11%
26-Oct-21,"60,310.80","63,067.50","63,275.10","59,907.30",57.13K,-4.37%
25-Oct-21,"63,067.00","60,864.30","63,694.80","60,655.80",51.06K,3.62%
24-Oct-21,"60,866.50","61,308.20","61,469.90","59,523.70",42.67K,-0.73%
23-Oct-21,"61,312.50","60,693.20","61,728.70","59,738.30",37.05K,1.03%
22-Oct-21,"60,690.30","62,200.80","63,699.70","60,055.70",75.69K,-2.44%
21-Oct-21,"62,210.20","66,004.60","66,616.90","62,092.10",105.38K,-5.71%
20-Oct-21,"65,979.10","64,276.90","66,967.10","63,543.70",79.87K,2.65%
19-Oct-21,"64,278.50","62,030.20","64,454.00","61,451.00",80.16K,3.58%
18-Oct-21,"62,056.30","61,525.80","62,623.60","60,026.90",80.15K,0.86%
17-Oct-21,"61,527.50","60,865.50","61,651.40","59,143.40",53.39K,1.09%
16-Oct-21,"60,861.10","61,669.20","62,329.20","60,161.90",49.93K,-1.32%
15-Oct-21,"61,672.50","57,348.20","62,892.80","56,874.80",121.48K,7.54%
14-Oct-21,"57,345.80","57,370.40","58,506.50","56,866.80",59.84K,-0.06%
13-Oct-21,"57,380.10","56,014.50","57,697.40","54,314.40",73.62K,2.44%
12-Oct-21,"56,015.90","57,480.60","57,635.70","54,155.40",74.85K,-2.54%
11-Oct-21,"57,477.30","54,686.90","57,814.10","54,457.80",73.84K,5.10%
10-Oct-21,"54,687.70","54,942.50","56,432.20","54,100.80",104.43K,-0.46%
09-Oct-21,"54,942.50","53,924.10","55,430.80","53,711.70",64.65K,1.91%
08-Oct-21,"53,914.70","53,785.50","55,977.90","53,659.30",64.05K,0.24%
07-Oct-21,"53,783.90","55,325.20","55,325.60","53,476.40",75.68K,-2.78%
06-Oct-21,"55,323.20","51,470.00","55,676.10","50,439.50",116.26K,7.49%
05-Oct-21,"51,469.30","49,229.50","51,872.40","49,060.10",76.63K,4.55%
04-Oct-21,"49,227.30","48,200.40","49,481.70","46,958.60",66.92K,2.13%
03-Oct-21,"48,200.10","47,665.40","49,165.20","47,123.00",42.41K,1.12%
02-Oct-21,"47,666.90","48,147.20","48,306.90","47,451.70",39.82K,-1.00%
01-Oct-21,"48,146.00","43,824.40","48,435.20","43,292.90",94.66K,9.86%
30-Sep-21,"43,823.30","41,534.50","44,101.20","41,416.70",64.32K,5.50%
29-Sep-21,"41,536.80","41,023.10","42,571.20","40,815.00",48.21K,1.25%
28-Sep-21,"41,022.30","42,169.90","42,758.80","40,906.40",60.01K,-2.73%
27-Sep-21,"42,172.60","43,200.90","44,293.20","42,143.90",54.12K,-2.39%
26-Sep-21,"43,203.40","42,685.80","43,907.30","40,786.60",69.91K,1.21%
25-Sep-21,"42,686.80","42,818.70","42,959.30","41,714.50",46.35K,-0.31%
24-Sep-21,"42,819.90","44,867.40","45,112.00","40,908.50",128.88K,-4.57%
23-Sep-21,"44,869.20","43,550.70","44,949.80","43,090.10",74.54K,3.03%
22-Sep-21,"43,551.60","40,660.80","43,976.70","40,585.70",93.98K,7.13%
21-Sep-21,"40,651.30","43,012.30","43,619.30","39,646.80",142.55K,-5.18%
