Date,Price,Open,High,Low,Vol.,Change %,Close,High-Low,Open-Close
12/31/2021,4766.18,4775.21,4786.83,4765.75,,-0.26%,4794.23,21.079999999999927,-19.019999999999527
12/30/2021,4778.73,4794.23,4808.93,4775.33,,-0.30%,4788.64,33.600000000000364,5.589999999999236
12/29/2021,4793.06,4788.64,4804.06,4778.08,,0.14%,4795.49,25.980000000000473,-6.849999999999454
12/28/2021,4786.36,4795.49,4807.02,4780.04,,-0.10%,4733.99,26.980000000000473,61.5
12/27/2021,4791.19,4733.99,4791.49,4733.99,,1.38%,4703.96,57.5,30.029999999999745
12/23/2021,4725.78,4703.96,4740.74,4703.96,,0.62%,4650.36,36.779999999999745,53.600000000000364
12/22/2021,4696.56,4650.36,4697.67,4645.53,,1.02%,4594.96,52.14000000000033,55.399999999999636
12/21/2021,4649.23,4594.96,4651.14,4583.16,,1.78%,4587.9,67.98000000000047,7.0600000000004
12/20/2021,4568.02,4587.9,4587.9,4531.1,,-1.14%,4652.5,56.79999999999927,-64.60000000000036
12/17/2021,4620.64,4652.5,4666.7,4600.22,,-1.03%,4719.13,66.47999999999956,-66.63000000000011
12/16/2021,4668.67,4719.13,4731.99,4651.89,,-0.87%,4636.46,80.09999999999945,82.67000000000007
12/15/2021,4709.84,4636.46,4712.6,4611.22,,1.63%,4642.99,101.38000000000011,-6.529999999999745
12/14/2021,4634.09,4642.99,4660.47,4606.52,,-0.75%,4710.3,53.94999999999982,-67.3100000000004
12/13/2021,4669.15,4710.3,4710.3,4667.6,,-0.91%,4687.64,42.69999999999982,22.659999999999854
12/10/2021,4712.02,4687.64,4713.57,4670.24,,0.95%,4691.0,43.32999999999993,-3.3599999999996726
12/09/2021,4667.45,4691.0,4695.26,4665.98,,-0.72%,4690.86,29.280000000000655,0.14000000000032742
12/08/2021,4701.21,4690.86,4705.06,4674.52,,0.31%,4631.97,30.539999999999964,58.88999999999942
12/07/2021,4686.75,4631.97,4694.04,4631.97,,2.07%,4548.37,62.06999999999971,83.60000000000036
12/06/2021,4591.67,4548.37,4612.6,4540.51,,1.17%,4589.49,72.09000000000015,-41.11999999999989
12/03/2021,4538.43,4589.49,4608.03,4495.12,,-0.84%,4504.73,112.90999999999985,84.76000000000022
12/02/2021,4577.1,4504.73,4595.46,4504.73,,1.42%,4602.82,90.73000000000047,-98.09000000000015
12/01/2021,4513.04,4602.82,4652.94,4510.27,,-1.18%,4640.25,142.66999999999916,-37.43000000000029
11/30/2021,4567.0,4640.25,4646.02,4560.0,,-1.90%,4628.75,86.02000000000044,11.5
11/29/2021,4655.27,4628.75,4672.95,4625.26,,1.32%,4664.63,47.6899999999996,-35.88000000000011
11/26/2021,4594.62,4664.63,4664.63,4585.43,,-2.27%,4675.78,79.19999999999982,-11.149999999999636
11/24/2021,4701.46,4675.78,4702.87,4659.89,,0.23%,4678.48,42.97999999999956,-2.699999999999818
11/23/2021,4690.7,4678.48,4699.39,4652.66,,0.17%,4712.0,46.73000000000047,-33.52000000000044
11/22/2021,4682.95,4712.0,4743.83,4682.17,,-0.32%,4708.44,61.659999999999854,3.5600000000004
11/19/2021,4697.96,4708.44,4717.75,4694.22,,-0.18%,4700.72,23.529999999999745,7.719999999999345
11/18/2021,4706.64,4700.72,4708.75,4672.78,,0.38%,4701.5,35.970000000000255,-0.7799999999997453
11/17/2021,4688.67,4701.5,4701.5,4684.41,,-0.26%,4679.42,17.090000000000146,22.079999999999927
11/16/2021,4700.9,4679.42,4714.95,4679.42,,0.39%,4689.3,35.529999999999745,-9.88000000000011
11/15/2021,4682.81,4689.3,4697.42,4672.86,,0.00%,4655.24,24.5600000000004,34.0600000000004
11/12/2021,4682.85,4655.24,4688.47,4650.77,,0.72%,4659.39,37.69999999999982,-4.150000000000546
11/11/2021,4649.27,4659.39,4664.55,4648.31,,0.06%,4670.26,16.23999999999978,-10.86999999999989
11/10/2021,4646.71,4670.26,4684.85,4630.86,,-0.82%,4707.25,53.99000000000069,-36.98999999999978
11/09/2021,4685.25,4707.25,4708.53,4670.87,,-0.35%,4701.48,37.659999999999854,5.770000000000437
11/08/2021,4701.7,4701.48,4714.92,4694.39,,0.09%,4699.26,20.529999999999745,2.219999999999345
11/05/2021,4697.53,4699.26,4718.5,4681.32,,0.37%,4662.93,37.18000000000029,36.32999999999993
11/04/2021,4680.06,4662.93,4683.0,4662.59,,0.42%,4630.65,20.409999999999854,32.280000000000655
11/03/2021,4660.57,4630.65,4663.46,4621.19,,0.65%,4613.34,42.27000000000044,17.30999999999949
11/02/2021,4630.65,4613.34,4635.15,4613.34,,0.37%,4610.62,21.80999999999949,2.7200000000002547
11/01/2021,4613.67,4610.62,4620.34,4595.06,,0.18%,4572.87,25.279999999999745,37.75
10/29/2021,4605.38,4572.87,4608.08,4567.59,,0.19%,4562.84,40.48999999999978,10.029999999999745
10/28/2021,4596.42,4562.84,4597.55,4562.84,,0.98%,4580.22,34.710000000000036,-17.38000000000011
10/27/2021,4551.68,4580.22,4584.57,4551.66,,-0.51%,4578.69,32.909999999999854,1.5300000000006548
10/26/2021,4574.79,4578.69,4598.53,4569.17,,0.18%,4553.69,29.359999999999673,25.0
10/25/2021,4566.48,4553.69,4572.62,4537.36,,0.47%,4546.12,35.26000000000022,7.569999999999709
10/22/2021,4544.9,4546.12,4559.67,4524.0,,-0.11%,4532.24,35.67000000000007,13.88000000000011
10/21/2021,4549.78,4532.24,4551.44,4526.89,,0.30%,4524.42,24.549999999999272,7.819999999999709
10/20/2021,4536.19,4524.42,4540.87,4524.4,,0.37%,4497.34,16.470000000000255,27.079999999999927
10/19/2021,4519.63,4497.34,4520.4,4496.41,,0.74%,4463.72,23.98999999999978,33.61999999999989
10/18/2021,4486.48,4463.72,4488.75,4447.47,,0.34%,4447.69,41.279999999999745,16.030000000000655
10/15/2021,4471.37,4447.69,4475.82,4447.69,,0.75%,4386.75,28.13000000000011,60.9399999999996
10/14/2021,4438.23,4386.75,4439.73,4386.75,,1.71%,4358.01,52.97999999999956,28.73999999999978
10/13/2021,4363.8,4358.01,4372.87,4329.92,,0.30%,4368.31,42.94999999999982,-10.300000000000182
10/12/2021,4350.64,4368.31,4374.89,4342.09,,-0.24%,4385.44,32.80000000000018,-17.1299999999992
10/11/2021,4361.19,4385.44,4415.88,4360.59,,-0.69%,4406.51,55.289999999999964,-21.07000000000062
10/08/2021,4391.36,4406.51,4412.02,4386.22,,-0.19%,4383.73,25.800000000000182,22.780000000000655
10/07/2021,4399.76,4383.73,4429.97,4383.73,,0.83%,4319.57,46.24000000000069,64.15999999999985
10/06/2021,4363.55,4319.57,4365.57,4290.49,,0.41%,4309.87,75.07999999999993,9.699999999999818
10/05/2021,4345.72,4309.87,4369.23,4309.87,,1.05%,4348.84,59.35999999999967,-38.970000000000255
10/04/2021,4300.46,4348.84,4355.51,4278.94,,-1.30%,4317.16,76.57000000000062,31.68000000000029
10/01/2021,4357.05,4317.16,4375.19,4288.52,,1.15%,4370.67,86.66999999999916,-53.51000000000022
09/30/2021,4307.54,4370.67,4382.55,4306.24,,-1.19%,4362.41,76.3100000000004,8.260000000000218
09/29/2021,4359.46,4362.41,4385.57,4355.08,,0.16%,4419.54,30.48999999999978,-57.13000000000011
09/28/2021,4352.63,4419.54,4419.54,4346.33,,-2.04%,4442.12,73.21000000000004,-22.579999999999927
09/27/2021,4443.11,4442.12,4457.3,4436.19,,-0.28%,4438.04,21.110000000000582,4.079999999999927
09/24/2021,4455.48,4438.04,4463.12,4430.27,,0.15%,4406.75,32.849999999999454,31.289999999999964
09/23/2021,4448.98,4406.75,4465.4,4406.75,,1.21%,4367.43,58.649999999999636,39.31999999999971
09/22/2021,4395.64,4367.43,4416.75,4367.43,,0.95%,4374.45,49.31999999999971,-7.019999999999527
09/21/2021,4354.18,4374.45,4394.87,4347.96,,-0.08%,4402.95,46.909999999999854,-28.5
09/20/2021,4357.73,4402.95,4402.95,4305.91,,-1.70%,4469.74,97.03999999999996,-66.78999999999996
09/17/2021,4432.99,4469.74,4471.52,4427.76,,-0.91%,4477.09,43.76000000000022,-7.350000000000364
09/16/2021,4473.76,4477.09,4485.87,4443.8,,-0.15%,4447.49,42.06999999999971,29.600000000000364
09/15/2021,4480.7,4447.49,4486.87,4438.37,,0.85%,4479.33,48.5,-31.840000000000146
09/14/2021,4443.05,4479.33,4485.68,4435.46,,-0.57%,4474.81,50.220000000000255,4.519999999999527
09/13/2021,4468.73,4474.81,4492.99,4445.7,,0.23%,4506.92,47.289999999999964,-32.10999999999967
09/10/2021,4458.58,4506.92,4520.47,4457.66,,-0.77%,4513.02,62.8100000000004,-6.100000000000364
09/09/2021,4493.28,4513.02,4529.9,4492.07,,-0.46%,4518.09,37.82999999999993,-5.069999999999709
09/08/2021,4514.07,4518.09,4521.79,4493.95,,-0.13%,4535.38,27.840000000000146,-17.289999999999964
09/07/2021,4520.03,4535.38,4535.38,4513.0,,-0.34%,4532.42,22.38000000000011,2.9600000000000364
09/03/2021,4535.43,4532.42,4541.45,4521.3,,-0.03%,4534.48,20.149999999999636,-2.0599999999994907
09/02/2021,4536.95,4534.48,4545.85,4524.66,,0.28%,4528.8,21.19000000000051,5.6799999999993815
09/01/2021,4524.09,4528.8,4537.11,4522.02,,0.03%,4529.75,15.089999999999236,-0.9499999999998181
08/31/2021,4522.68,4529.75,4531.39,4515.8,,-0.13%,4513.76,15.590000000000146,15.989999999999782
08/30/2021,4528.79,4513.76,4537.36,4513.76,,0.43%,4474.1,23.599999999999454,39.659999999999854
08/27/2021,4509.37,4474.1,4513.33,4474.1,,0.88%,4493.75,39.22999999999956,-19.649999999999636
08/26/2021,4469.91,4493.75,4495.9,4468.99,,-0.58%,4490.45,26.909999999999854,3.300000000000182
08/25/2021,4496.19,4490.45,4501.71,4485.66,,0.22%,4484.4,16.050000000000182,6.050000000000182
08/24/2021,4486.23,4484.4,4492.81,4482.28,,0.15%,4450.29,10.530000000000655,34.10999999999967
08/23/2021,4479.54,4450.29,4489.88,4450.29,,0.85%,4410.56,39.590000000000146,39.72999999999956
08/20/2021,4441.67,4410.56,4444.35,4406.8,,0.81%,4382.44,37.55000000000018,28.1200000000008
08/19/2021,4405.8,4382.44,4418.61,4367.73,,0.13%,4440.94,50.88000000000011,-58.5
08/18/2021,4400.27,4440.94,4454.32,4397.59,,-1.07%,4462.12,56.72999999999956,-21.18000000000029
08/17/2021,4448.08,4462.12,4462.12,4417.83,,-0.70%,4461.65,44.289999999999964,0.47000000000025466
08/16/2021,4479.66,4461.65,4480.26,4437.66,,0.26%,4464.84,42.600000000000364,-3.1900000000005093
08/13/2021,4468.0,4464.84,4468.37,4460.82,,0.16%,4446.08,7.550000000000182,18.76000000000022
08/12/2021,4460.84,4446.08,4461.77,4435.96,,0.30%,4442.18,25.8100000000004,3.899999999999636
08/11/2021,4447.7,4442.18,4449.44,4436.42,,0.25%,4435.79,13.019999999999527,6.390000000000327
08/10/2021,4436.75,4435.79,4445.21,4430.03,,0.10%,4437.77,15.180000000000291,-1.980000000000473
08/09/2021,4432.35,4437.77,4439.39,4424.74,,-0.09%,4429.07,14.650000000000546,8.700000000000728
08/06/2021,4436.52,4429.07,4440.82,4429.07,,0.17%,4408.86,11.75,20.210000000000036
08/05/2021,4429.1,4408.86,4429.76,4408.86,,0.60%,4415.95,20.900000000000546,-7.0900000000001455
08/04/2021,4402.68,4415.95,4416.17,4400.23,,-0.46%,4392.74,15.94000000000051,23.210000000000036
08/03/2021,4423.15,4392.74,4423.79,4373.0,,0.82%,4406.86,50.789999999999964,-14.11999999999989
08/02/2021,4387.11,4406.86,4422.18,4384.81,,-0.19%,4395.12,37.36999999999989,11.739999999999782
07/30/2021,4395.26,4395.12,4412.25,4389.65,,-0.54%,4403.59,22.600000000000364,-8.470000000000255
07/29/2021,4419.15,4403.59,4429.97,4403.59,,0.42%,4402.95,26.38000000000011,0.6400000000003274
07/28/2021,4400.65,4402.95,4415.47,4387.01,,-0.02%,4416.38,28.460000000000036,-13.430000000000291
07/27/2021,4401.46,4416.38,4416.38,4372.51,,-0.47%,4409.58,43.86999999999989,6.800000000000182
07/26/2021,4422.23,4409.58,4422.73,4405.45,,0.24%,4381.2,17.279999999999745,28.38000000000011
